Prioridad,Fase,Componente,Tipo,Stack Tecnológico,Responsabilidades,Métodos/Endpoints Principales,Dependencias,Esfuerzo (días),Notas Técnicas
28,Frontend,Web Application - Core,Frontend,"React 18, TypeScript, Vite, TanStack Query","SPA para AFOREs, dashboard, upload de archivos","N/A - React components",API Services,10-15,"S3 + CloudFront hosting, Azure AD B2C authentication"
29,Frontend,Web App - Authentication,Frontend,"React, @azure/msal-react, msal-browser","Login con Azure AD, refresh tokens, logout","LoginButton, LogoutButton, AuthProvider","Azure AD B2C, API Gateway",3-5,"PKCE flow, token refresh automático, secure storage"
30,Frontend,Web App - File Upload,Frontend,"React, react-dropzone, axios","UI para subir archivos CONSAR TXT","FileUploadZone, UploadProgress, FileList","File Upload Service API",3-5,"Chunk upload, progress bar, validación client-side"
31,Frontend,Web App - Validation Dashboard,Frontend,"React, Recharts, TanStack Table","Dashboard de validaciones ejecutadas, resultados","ValidationDashboard, ValidationDetail, Charts","Validation Engine, Results API",5-7,"Real-time updates (WebSocket o polling), filtros, exportación"
32,Frontend,Web App - Reports Viewer,Frontend,"React, react-pdf, xlsx","Visualización de reportes PDF/Excel generados","ReportViewer, ReportDownload, ReportHistory","Report Generator Service API",3-5,"PDF viewer embebido, descarga directa desde S3"
33,Frontend,Web App - Audit Trail,Frontend,"React, TanStack Table","Visualización de audit log para compliance","AuditLogTable, AuditFilters, AuditExport","Audit Service API",3-5,"Filtros avanzados, paginación server-side, export CSV"
34,Frontend,Admin Panel,Frontend,"React, Ant Design/MUI, React Router","Panel de administración para operadores Hergon","UserManagement, AforeManagement, SystemConfig","Catalog Service, Admin APIs",7-10,"RBAC, gestión de usuarios, configuración de reglas"
35,Testing,Unit Tests - Backend,Testing,"xUnit, Moq, FluentAssertions, Testcontainers","Tests unitarios de servicios, validators, helpers","N/A - Test code",Todos los servicios backend,5-7,"Coverage >80%, AAA pattern, test doubles para AWS services"
36,Testing,Integration Tests - Backend,Testing,"xUnit, Testcontainers, WireMock, LocalStack","Tests de integración con DB, S3, SQS, DynamoDB","N/A - Test code",Servicios backend + infrastructure,7-10,"Testcontainers para PostgreSQL/Redis, LocalStack para AWS"
37,Testing,E2E Tests - Frontend,Testing,"Playwright, TypeScript","Tests end-to-end del flujo completo de usuario","N/A - Test code",Frontend + Backend APIs,5-7,"CI/CD integration, screenshots on failure, parallelización"
38,Testing,Load Testing,Testing,"k6, Grafana, Artillery","Tests de carga, stress testing, capacity planning","N/A - Test scripts",Infraestructura completa,3-5,"Simular 10 AFOREs, 1000 validaciones/día, métricas SLA"
39,DevOps,CI/CD Pipeline - Backend,DevOps,"GitHub Actions, Docker, ECR, ECS","Build, test, push images, deploy to ECS","N/A - GitHub Actions workflows",Backend services, ECR,3-5,"Multi-stage builds ARM64, semantic versioning, blue-green deploy"
40,DevOps,CI/CD Pipeline - Frontend,DevOps,"GitHub Actions, S3, CloudFront","Build React, deploy to S3, invalidate CloudFront","N/A - GitHub Actions workflows",Frontend app, S3/CloudFront,2-3,"Build optimizado, cache busting, preview deployments"
41,DevOps,CI/CD Pipeline - Lambda,DevOps,"GitHub Actions, Lambda, Docker","Build Lambda functions ARM64, deploy con versioning","N/A - GitHub Actions workflows",Lambda validators,2-3,"Lambda layers para dependencias, alias para versiones"
42,DevOps,Database Migrations,DevOps,"Flyway, PostgreSQL, GitHub Actions","Migrations versionadas, rollback, CI/CD integration","N/A - SQL migration scripts",RDS PostgreSQL DBs,2-3,"Migrations por ambiente, validación en staging primero"
43,DevOps,Disaster Recovery Plan,DevOps,"AWS Backup, RDS Snapshots, S3 Replication","Backups automáticos, restore procedures, DR drills","N/A - AWS Backup plans",RDS, DynamoDB, S3,2-3,"RPO=1h, RTO=4h, snapshots cross-region para DR"
44,DevOps,Secrets Rotation,DevOps,"AWS Secrets Manager, Lambda, EventBridge","Rotación automática de passwords, client secrets","N/A - Lambda rotation functions",Secrets Manager, RDS, Azure AD,2-3,"Rotación cada 90 días, zero-downtime rotation"
45,Security,Security Audit,Security,"AWS IAM Access Analyzer, AWS Config, Prowler","Auditoría de seguridad, compliance checks","N/A - Security tools",Infraestructura completa,3-5,"Checks: encryption, public access, IAM policies, compliance"
46,Security,Penetration Testing,Security,"OWASP ZAP, Burp Suite, manual testing","Pentesting de API, WAF rules validation","N/A - Security assessment",API Gateway, Backend APIs,5-7,"OWASP Top 10, SQL injection, XSS, CSRF, auth bypass"
47,Security,Compliance Documentation,Security,"Markdown, Confluence, compliance frameworks","Documentación SOC 2, ISO 27001, CONSAR","N/A - Documentation",Sistema completo,5-7,"Políticas, procedimientos, evidencia de controles"
48,Docs,API Documentation,Documentation,"Swagger/OpenAPI, Redoc, Postman","Documentación de APIs REST, ejemplos, schemas","N/A - OpenAPI spec",Backend APIs,3-5,"OpenAPI 3.0, ejemplos de requests/responses, autenticación"
49,Docs,User Manuals,Documentation,"Markdown, Docusaurus, videos","Manuales de usuario para AFOREs y admins","N/A - Documentation",Frontend app,5-7,"Screenshots, videos tutoriales, troubleshooting guides"
50,Docs,Operations Runbooks,Documentation,"Markdown, incident response templates","Runbooks para incidentes, deployment, rollback","N/A - Documentation",Infraestructura + servicios,3-5,"Incident response, escalation, playbooks por tipo de issue"
51,Training,Team Training,Training,"Workshops, documentation review, hands-on","Capacitación del equipo técnico en arquitectura y ops","N/A - Training sessions",Documentación completa,3-5,"AWS services, Azure AD, troubleshooting, monitoring"
52,Training,User Training,Training,"Workshops, videos, user manuals","Capacitación de usuarios AFORE en el sistema","N/A - Training sessions",Frontend app completo,2-3,"Upload de archivos, interpretación de reportes, soporte"
53,Production,Production Deployment,Deployment,"Terraform, AWS, blue-green deployment","Despliegue a producción con estrategia blue-green","N/A - Deployment process",Sistema completo validado en staging,3-5,"Validar staging, backups, rollback plan, monitoring 24/7"
54,Production,Hypercare Period,Operations,"CloudWatch, PagerDuty, team on-call","Monitoreo intensivo post-go-live, respuesta rápida","N/A - Operations",Sistema en producción,14-30,"Equipo on-call 24/7, análisis diario de métricas, ajustes"
55,Post-Launch,Performance Optimization,Optimization,"CloudWatch, X-Ray, profiling tools","Optimización basada en métricas reales de producción","N/A - Performance tuning",Métricas de producción,Continuo,"Query optimization, cache tuning, right-sizing resources"
56,Post-Launch,Cost Optimization,FinOps,"AWS Cost Explorer, Savings Plans, Reserved Instances","Análisis de costos, implementación de Savings Plans","N/A - Cost analysis",Billing data 30+ días,Continuo,"Identificar recursos idle, rightsizing, commitment discounts"
